"Cell","Assays"
"MCF7","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##ELISA protein state assay##Fluorescence imaging protein state assay##Fluorescence imaging morphology assay##MEMA cell growth assay"
"A549","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##ELISA protein secretion profiling assay"
"YAPC","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##MEMA cell growth assay"
"SW620","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"AGS","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"BT-474","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"BT-483","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"BT-549","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1419","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-134-VI","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-175-VII","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"UACC-812","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"UACC-893","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"ZR-75-1","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1187","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1395","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1937","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1954","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay"
"HCC202","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC38","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC70","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"AU565","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay"
"CAMA-1","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1428","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-361","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-436","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-468","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##KiNativ kinase-small molecule binding assay##ELISA protein state assay"
"HCC1569","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MDA-MB-453","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"T47D","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay"
"MDA-MB-157","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HCC1806","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"COLO 858","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging protein state assay"
"WM-115","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging protein state assay"
"WM1552C","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging protein state assay"
"LOXIMVI","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging protein state assay"
"COLO-800","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"IST-MEL1","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"PC-9","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H1648","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"IA-LM","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"PL4","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"WiDr","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"PE/CA-PJ15","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"A375.S2","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"COLO-679","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"MDA-MB-435S","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"LNZTA3WT4","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"CAL-51","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"MT-3","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"SW527","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"HEC-1","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Ishikawa","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Ishikawa (Heraklio) 02 ER-","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"SK-OV-3","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Ca Ski","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KYSE-140","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KYSE-150","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KYSE-450","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Calu-1","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H1915","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H2023","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Calu-3","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H1651","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"647-V","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"T24","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KMRC-20","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"FU97","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"JHH-6","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"HLF","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"Ca9-22","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"HUTU-80","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"SK-LMS-1","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KYSE-180","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H810","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"184B5","Fluorescence imaging cell count assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MCF12A","Fluorescence imaging cell count assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"MCF 10F","Fluorescence imaging cell count assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"C32","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay"
"RVH-421","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay"
"ZR-75-30","Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"U-2 OS","Fluorescence imaging cell growth inhibition assay##Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"MDA-MB-415","Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"THP-1","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KiNativ kinase-small molecule binding assay"
"U-937","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##ELISA protein secretion profiling assay"
"MMAC-SF","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay"
"MZ7-mel","Fluorescence imaging cell growth inhibition assay##RPPA protein state assay##Fluorescence imaging apoptosis assay"
"HCC1500","Fluorescence imaging cell growth inhibition assay##ELISA protein state assay##Fluorescence imaging protein state assay"
"HME1","Cellarium metabolic profiling assay##Fluorescence imaging cell count assay##L1000 mRNA profiling assay"
"5637","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay"
"BPH-1","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay"
"SNB75","Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"SJCRH30","Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"NCI-H1703","Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"SK-MES","Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"KATO III","Fluorescence imaging cell cycle state assay##Fluorescence imaging cell growth inhibition assay"
"HCC1143","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay"
"MB 157","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay"
"VCaP","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"HCT 116","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"HT115","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"MDST8","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"LoVo","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"SW-948","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"A673","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"SNG-M","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"EFO-27","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"HCC-15","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"DV-90","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"NCI-H2073","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"SK-LU-1","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"TYK-nu","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"COR-L23","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"NCI-H596","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"RMG-I","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"Huh7","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"SH-SY5Y","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"HL-60","Fluorescence imaging cell growth inhibition assay##P100 phosphoprotein quantification assay"
"NOMO-1","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"Ramos (RA 1)","Fluorescence imaging cell growth inhibition assay##KiNativ kinase-small molecule binding assay"
"SK-MEL-1","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"NCI-H716","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"U-87 MG","Fluorescence imaging cell growth inhibition assay##ELISA protein secretion profiling assay"
"NCI-H1694","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"NCI-H1836","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"WSU-DLCL2","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay"
"K2","RPPA protein state assay##Fluorescence imaging apoptosis assay"
"SKMEL28","RPPA protein state assay##Fluorescence imaging apoptosis assay"
"T47DKBLUC","Fluorescence imaging cell count assay"
"SUM229PE","Fluorescence imaging cell count assay"
"SUM1315MO2","Fluorescence imaging cell count assay"
"SUM149PT","Fluorescence imaging cell count assay"
"SUM159PT","Fluorescence imaging cell count assay"
"SUM185PE","Fluorescence imaging cell count assay"
"SUM225CWN","Fluorescence imaging cell count assay"
"SUM52PE","Fluorescence imaging cell count assay"
"600MPE","Fluorescence imaging cell count assay"
"HCC2185","Fluorescence imaging cell count assay"
"HCC3153","Fluorescence imaging cell count assay"
"LY2","Fluorescence imaging cell count assay"
"ZR75B","Fluorescence imaging cell count assay"
"184A1","Fluorescence imaging cell count assay"
"TASK1","Fluorescence imaging cell growth inhibition assay"
"22RV1","Fluorescence imaging cell growth inhibition assay"
"DU 145","Fluorescence imaging cell growth inhibition assay"
"SCH","Fluorescence imaging cell growth inhibition assay"
"NCI-H727","Fluorescence imaging cell growth inhibition assay"
"UMC-11","Fluorescence imaging cell growth inhibition assay"
"C170","Fluorescence imaging cell growth inhibition assay"
"COLO 741","Fluorescence imaging cell growth inhibition assay"
"COLO-206F","Fluorescence imaging cell growth inhibition assay"
"COLO-678","Fluorescence imaging cell growth inhibition assay"
"HT55","Fluorescence imaging cell growth inhibition assay"
"OUMS-23","Fluorescence imaging cell growth inhibition assay"
"T84","Fluorescence imaging cell growth inhibition assay"
"Caco-2","Fluorescence imaging cell growth inhibition assay"
"CCK-81","Fluorescence imaging cell growth inhibition assay"
"COLO 201","Fluorescence imaging cell growth inhibition assay"
"COLO 205","Fluorescence imaging cell growth inhibition assay"
"COLO-320","Fluorescence imaging cell growth inhibition assay"
"DLD-1","Fluorescence imaging cell growth inhibition assay"
"GP5d","Fluorescence imaging cell growth inhibition assay"
"HCC-56","Fluorescence imaging cell growth inhibition assay"
"HCT-15","Fluorescence imaging cell growth inhibition assay"
"Hs 257.T","Fluorescence imaging cell growth inhibition assay"
"LS174T","Fluorescence imaging cell growth inhibition assay"
"LS180","Fluorescence imaging cell growth inhibition assay"
"SK-CO-1","Fluorescence imaging cell growth inhibition assay"
"SW 1417","Fluorescence imaging cell growth inhibition assay"
"SW 48","Fluorescence imaging cell growth inhibition assay"
"CoCM-1","Fluorescence imaging cell growth inhibition assay"
"COLO 320DM","Fluorescence imaging cell growth inhibition assay"
"HCT-8","Fluorescence imaging cell growth inhibition assay"
"CL-40","Fluorescence imaging cell growth inhibition assay"
"SW 1116","Fluorescence imaging cell growth inhibition assay"
"FaDu","Fluorescence imaging cell growth inhibition assay"
"HO-1-u-1","Fluorescence imaging cell growth inhibition assay"
"BICR 10","Fluorescence imaging cell growth inhibition assay"
"HO-1-N-1","Fluorescence imaging cell growth inhibition assay"
"BICR 78","Fluorescence imaging cell growth inhibition assay"
"HSC-2","Fluorescence imaging cell growth inhibition assay"
"KON","Fluorescence imaging cell growth inhibition assay"
"BHY","Fluorescence imaging cell growth inhibition assay"
"HN","Fluorescence imaging cell growth inhibition assay"
"SAT","Fluorescence imaging cell growth inhibition assay"
"SKN-3","Fluorescence imaging cell growth inhibition assay"
"BICR 22","Fluorescence imaging cell growth inhibition assay"
"BICR 31","Fluorescence imaging cell growth inhibition assay"
"CAL 27","Fluorescence imaging cell growth inhibition assay"
"CAL-33","Fluorescence imaging cell growth inhibition assay"
"HSC-3","Fluorescence imaging cell growth inhibition assay"
"HSC-4","Fluorescence imaging cell growth inhibition assay"
"OSC-19","Fluorescence imaging cell growth inhibition assay"
"OSC-20","Fluorescence imaging cell growth inhibition assay"
"SAS","Fluorescence imaging cell growth inhibition assay"
"SCC-15","Fluorescence imaging cell growth inhibition assay"
"SCC-25","Fluorescence imaging cell growth inhibition assay"
"SCC-4","Fluorescence imaging cell growth inhibition assay"
"SCC-9","Fluorescence imaging cell growth inhibition assay"
"Detroit 562","Fluorescence imaging cell growth inhibition assay"
"KOSC-2 cl3-43","Fluorescence imaging cell growth inhibition assay"
"NCI-H2452","Fluorescence imaging cell growth inhibition assay"
"1205Lu","Fluorescence imaging cell growth inhibition assay"
"A2058","Fluorescence imaging cell growth inhibition assay"
"COLO 792","Fluorescence imaging cell growth inhibition assay"
"COLO 853","Fluorescence imaging cell growth inhibition assay"
"COLO 857","Fluorescence imaging cell growth inhibition assay"
"COLO-783","Fluorescence imaging cell growth inhibition assay"
"COLO-818","Fluorescence imaging cell growth inhibition assay"
"COLO-849","Fluorescence imaging cell growth inhibition assay"
"G-361","Fluorescence imaging cell growth inhibition assay"
"IGR-1","Fluorescence imaging cell growth inhibition assay"
"IGR-37","Fluorescence imaging cell growth inhibition assay"
"IGR-39","Fluorescence imaging cell growth inhibition assay"
"IPC-298","Fluorescence imaging cell growth inhibition assay"
"MEL-HO","Fluorescence imaging cell growth inhibition assay"
"MEL-JUSO","Fluorescence imaging cell growth inhibition assay"
"MEWO","Fluorescence imaging cell growth inhibition assay"
"RPMI-7951","Fluorescence imaging cell growth inhibition assay"
"SK-MEL-2","Fluorescence imaging cell growth inhibition assay"
"SK-MEL-30","Fluorescence imaging cell growth inhibition assay"
"VMRC-MELG","Fluorescence imaging cell growth inhibition assay"
"WM 266-4","Fluorescence imaging cell growth inhibition assay"
"WM278","Fluorescence imaging cell growth inhibition assay"
"WM35","Fluorescence imaging cell growth inhibition assay"
"WM793B","Fluorescence imaging cell growth inhibition assay"
"A373-C6","Fluorescence imaging cell growth inhibition assay"
"HMVII","Fluorescence imaging cell growth inhibition assay"
"NCI-H630","Fluorescence imaging cell growth inhibition assay"
"CaR-1","Fluorescence imaging cell growth inhibition assay"
"HRT-18","Fluorescence imaging cell growth inhibition assay"
"RCM-1","Fluorescence imaging cell growth inhibition assay"
"SW 1463","Fluorescence imaging cell growth inhibition assay"
"SW837","Fluorescence imaging cell growth inhibition assay"
"BeWo","Fluorescence imaging cell growth inhibition assay"
"CAL-39","Fluorescence imaging cell growth inhibition assay"
"C2BBe1","Fluorescence imaging cell growth inhibition assay"
"C-33 A","Fluorescence imaging cell growth inhibition assay"
"C-4 I","Fluorescence imaging cell growth inhibition assay"
"C-4 II","Fluorescence imaging cell growth inhibition assay"
"DoTc2 4510","Fluorescence imaging cell growth inhibition assay"
"HT-3","Fluorescence imaging cell growth inhibition assay"
"ME-180","Fluorescence imaging cell growth inhibition assay"
"MS751","Fluorescence imaging cell growth inhibition assay"
"EFM-19","Fluorescence imaging cell growth inhibition assay"
"EFM-192B","Fluorescence imaging cell growth inhibition assay"
"EVSA-T","Fluorescence imaging cell growth inhibition assay"
"MFM-223","Fluorescence imaging cell growth inhibition assay"
"42-MG-BA","Fluorescence imaging cell growth inhibition assay"
"A172","Fluorescence imaging cell growth inhibition assay"
"DBTRG-05MG","Fluorescence imaging cell growth inhibition assay"
"DK-MG","Fluorescence imaging cell growth inhibition assay"
"GAMG","Fluorescence imaging cell growth inhibition assay"
"GMS-10","Fluorescence imaging cell growth inhibition assay"
"LN-18","Fluorescence imaging cell growth inhibition assay"
"LN-229","Fluorescence imaging cell growth inhibition assay"
"LNZTA3WT11","Fluorescence imaging cell growth inhibition assay"
"M059J","Fluorescence imaging cell growth inhibition assay"
